Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
71,41,71,2011,Yamhill County,OR,9.3,41,71,OR,Yamhill,13352,14.1,52103,96,45,51,50,99708,50133,49575,45990,46037,706,304,1106,887,766,877,149,61,1416,1409,8242,6688,31,2,8,4,17,582,168,385,29,5,2011-OR-Yamhill,22.5
72,41,1,2012,Baker County,OR,10.5,41,1,OR,Baker,3011,19.3,37025,24,11,13,50,16001,8091,7910,7711,7527,49,25,99,111,36,60,4,5,192,182,287,291,0,0,0,0,0,15,9,6,0,0,2012-OR-Baker,20.5
73,41,3,2012,Benton County,OR,6,41,3,OR,Benton,16062,19.7,51890,78,64,14,50,86708,43525,43183,38318,38375,542,369,387,385,2676,2465,117,102,1485,1487,2932,2839,21,0,6,0,15,157,42,99,16,1,2012-OR-Benton,48.6
74,41,5,2012,Clackamas County,OR,8,41,5,OR,Clackamas,35640,9.3,64231,431,219,212,50,383159,188482,194677,171492,176412,2038,1692,2030,2067,6731,8307,548,489,5643,5710,15812,14764,218,8,55,85,70,5610,1000,4108,502,12,2012-OR-Clackamas,31.8
75,41,7,2012,Clatsop County,OR,8.7,41,7,OR,Clatsop,6261,17.1,43202,61,31,30,50,37435,18602,18833,17424,17637,135,121,247,225,217,308,55,59,524,483,1536,1428,3,0,0,0,3,155,37,107,11,2,2012-OR-Clatsop,22.1
76,41,9,2012,Columbia County,OR,10.7,41,9,OR,Columbia,7704,15.8,53250,14,11,3,50,49220,24644,24576,23123,22943,133,102,355,359,163,318,59,52,811,802,1115,1056,20,0,3,2,15,187,75,85,27,1,2012-OR-Columbia,17.4
77,41,11,2012,Coos County,OR,11.1,41,11,OR,Coos,12700,20.6,36057,86,28,58,50,62697,30919,31778,28310,28910,186,120,833,928,272,452,63,81,1255,1287,1820,1782,28,0,1,1,26,473,123,321,29,0,2012-OR-Coos,17.8
78,41,13,2012,Crook County,OR,13.5,41,13,OR,Crook,3889,18.9,41232,29,17,12,50,20610,10206,10404,9791,9945,28,25,136,150,46,81,7,7,198,196,793,719,24,0,1,1,22,127,49,76,2,1,2012-OR-Crook,14.4
79,41,15,2012,Curry County,OR,11.8,41,15,OR,Curry,3954,17.9,34854,34,12,22,50,22272,10954,11318,10227,10543,60,30,236,242,59,121,9,13,363,369,705,635,14,0,1,3,10,272,71,179,22,5,2012-OR-Curry,20.4
80,41,17,2012,Deschutes County,OR,11.2,41,17,OR,Deschutes,25453,15.8,48591,210,82,128,50,161408,79516,81892,75612,77674,389,292,921,909,615,986,120,113,1859,1918,5968,6122,118,0,9,5,104,897,252,601,44,13,2012-OR-Deschutes,30.5
81,41,19,2012,Douglas County,OR,11.9,41,19,OR,Douglas,22537,21.3,39399,144,112,32,50,106955,52804,54151,49399,50504,237,157,1037,1046,457,664,71,67,1603,1713,2678,2628,51,0,14,7,30,1360,389,893,78,11,2012-OR-Douglas,15.2
82,41,21,2012,Gilliam County,OR,10.1,41,21,OR,Gilliam,224,11.6,49735,7,6,1,50,1949,998,951,950,914,4,1,18,7,4,3,6,8,16,18,58,57,1,0,0,0,1,15,5,8,2,1,2012-OR-Gilliam,16.1
83,41,23,2012,Grant County,OR,14,41,23,OR,Grant,1357,18.8,37177,16,5,11,50,7325,3656,3669,3480,3493,13,8,63,48,12,16,2,7,86,97,122,126,0,0,0,0,0,37,5,30,2,2,2012-OR-Grant,17.5
84,41,25,2012,Harney County,OR,11.8,41,25,OR,Harney,1311,18.5,35848,21,5,16,50,7256,3688,3568,3429,3293,17,15,118,141,13,25,0,1,111,93,186,163,3,0,0,0,3,15,5,10,0,0,2012-OR-Harney,15.7
85,41,27,2012,Hood River County,OR,7.2,41,27,OR,Hood River,3116,14,53023,27,16,11,50,22545,11293,11252,10652,10584,83,64,134,117,152,172,27,25,245,290,3635,3216,27,0,2,3,22,182,37,129,16,1,2012-OR-Hood River,26.4
86,41,29,2012,Jackson County,OR,11.1,41,29,OR,Jackson,36832,18.1,44392,166,108,58,50,205939,100436,105503,93281,98283,996,546,1600,1522,1053,1614,339,341,3167,3197,12182,11189,167,2,14,9,142,1304,313,917,74,10,2012-OR-Jackson,24.4
87,41,31,2012,Jefferson County,OR,11.8,41,31,OR,Jefferson,4378,21,41426,40,13,27,50,21835,11335,10500,8636,7966,149,74,2146,2005,68,83,25,22,311,350,2234,2037,4,1,2,0,1,194,58,122,14,1,2012-OR-Jefferson,15.5
